contractSymbol,strike,lastPrice,ask,volume,openInterest,Expiration_date,Symbol,Days_until_exp,Div_yield,Stock_price,Delta,Gamma,Vega,Theta,Rho,Implied_vol (%),Moneyness_pct,Approx_win_prob_pct
AA240906P00031500,31.5,0.46,0.48,205.0,868.0,2024-09-06,AA,4,0.0125,32.1,-0.35677781755886906,0.20326527910376205,0.012532501685241853,-0.08410593721779261,-0.0013053147660944482,54.60059549795486,-0.018691588785046773,0.6432221824411309
AA241018P00030000,30.0,1.31,1.34,757.0,4769.0,2024-10-18,AA,46,0.0125,32.1,-0.3111321144827556,0.06039795609612105,0.040266731591940434,-0.021116452160529407,-0.014217834417517991,51.33920103612122,-0.06542056074766359,0.6888678855172444
AAL240906P00010500,10.5,0.14,0.14,2331.0,1097.0,2024-09-06,AAL,4,0.0,10.62,-0.39069681490664465,0.7758236492282412,0.004267721265327296,-0.023227603863677684,-0.0004700493341708017,44.50582670895006,-0.011299435028248515,0.6093031850933553
AAL240913P00010000,10.0,0.11,0.11,274.0,993.0,2024-09-13,AAL,11,0.0,10.62,-0.2139321117370322,0.33558096829276446,0.005371341097565904,-0.011211484593900636,-0.0007178506655649341,47.090852787358166,-0.05838041431261763,0.7860678882629678
AAL240920P00010000,10.0,0.17,0.17,7150.0,124928.0,2024-09-20,AAL,18,0.0,10.62,-0.2519904485549297,0.297912057514847,0.0075259040507828405,-0.009153531788719561,-0.0014035751820756263,45.41945534813595,-0.05838041431261763,0.7480095514450703
AAL240927P00010000,10.0,0.2,0.22,133.0,761.0,2024-09-27,AAL,25,0.0,10.62,-0.265112692408324,0.2796522286378766,0.009105649263979651,-0.007314182857481927,-0.0020654087625865754,42.1498909641302,-0.05838041431261763,0.734887307591676
AAL241018P00010000,10.0,0.34,0.35,298.0,7363.0,2024-10-18,AAL,46,0.0,10.62,-0.3051454296405267,0.21800902997920582,0.013208780480088611,-0.005690290428622269,-0.004512593021588772,42.6259665039561,-0.05838041431261763,0.6948545703594733
AAP240920P00044000,44.0,0.94,0.92,168.0,572.0,2024-09-20,AAP,18,0.0221,45.31,-0.34068832682646866,0.09449098603557757,0.03689667289298341,-0.03756565329710026,-0.008067776627085764,38.56817242238386,-0.028911939969101793,0.6593116731735313
AAPL240906P00225000,225.0,0.94,0.98,14050.0,8411.0,2024-09-06,AAPL,4,0.0044,229.0,-0.24881576320141008,0.05082009600375216,0.07598797832934641,-0.24018050054649556,-0.0063469653992986085,26.0178447267137,-0.017467248908296942,0.7511842367985899
AAPL240906P00227500,227.5,1.61,1.7,14721.0,4902.0,2024-09-06,AAPL,4,0.0044,229.0,-0.3862135267289174,0.0654979324330716,0.09172071596627156,-0.26856380110993033,-0.009868342913559359,24.366982630446135,-0.006550218340611353,0.6137864732710826
